iter	Passed	Remaining
0	1	136
1	2	138
2	4	135
3	5	138
4	7	134
5	8	133
6	10	133
7	11	131
8	12	130
9	14	130
10	16	130
11	17	126
12	18	124
13	19	122
14	21	121
15	22	120
16	24	120
17	26	119
18	27	118
19	29	117
20	30	115
21	32	113
22	33	112
23	34	110
24	36	109
25	38	108
26	39	107
27	41	105
28	42	104
29	44	102
30	45	101
31	46	99
32	48	98
33	49	97
34	51	96
35	53	94
36	55	94
37	56	92
38	58	91
39	60	90
40	61	88
41	62	86
42	64	85
43	66	84
44	68	83
45	70	83
46	73	82
47	77	83
48	79	82
49	81	81
50	83	80
51	84	78
52	86	76
53	87	74
54	89	73
55	90	71
56	92	69
57	93	67
58	95	66
59	96	64
60	98	62
61	99	61
62	100	59
63	102	57
64	103	55
65	105	54
66	106	52
67	108	50
68	109	49
69	110	47
70	112	45
71	113	44
72	114	42
73	116	40
74	117	39
75	118	37
76	120	35
77	121	34
78	122	32
79	124	31
80	125	29
81	126	27
82	128	26
83	129	24
84	131	23
85	132	21
86	133	19
87	134	18
88	135	16
89	136	15
90	138	13
91	139	12
92	140	10
93	142	9
94	143	7
95	144	6
96	145	4
97	147	3
98	148	1
99	149	0
